Tier,Business,Vertical,Area,Website,Email,Phone,Score,Major,Total,Top finding,Date sent,Follow-up 1,Follow-up 2,Reply / outcome
C,SKS Veterinary Hospital,pet hospital,Indiranagar,https://www.skspethospital.com/,admin@skspethospital.com,+917615934293,42,0,4,"Your Google summary is 508 characters, so it gets cut off mid-sentence",,,,email written (emails2.json) - not yet loaded to Gmail
C,Vardhan Fertility,fertility clinic,Bangalore,https://www.vardhanfertility.com/,vardhanfertility@gmail.com,,41,0,3,You haven't written the summary that appears under your name in Google,,,,email written (emails2.json) - not yet loaded to Gmail
C,WeDezine Studio,interior design studio,Malleshwaram,https://www.wedezinestudio.com/,info@wedezinestudio.com,+919111959595,41,0,3,Your page has 4 competing main headlines.,,,,email written (emails2.json) - not yet loaded to Gmail
C,WEA Designs,interior design studio,Bangalore,https://weadesign.com/,sales@weadesign.com,+917996060000,38,0,4,"Your Google summary is 264 characters, so it gets cut off mid-sentence",,,,email written (emails2.json) - not yet loaded to Gmail
C,Gravity Homes,property developer,Bangalore,https://www.gravityhomes.in/,hr@gravityhomes.in,+919739011616,38,0,4,"Your Google summary is 177 characters, so it gets cut off mid-sentence",,,,email written (emails2.json) - not yet loaded to Gmail
C,Pancham Interiors,interior design studio,Bangalore,https://www.panchaminteriors.com/,info@panchaminteriors.com,+919449799491,36,0,2,Your page title is 65 characters — too long for Google to show fully.,,,,email written (emails2.json) - not yet loaded to Gmail
C,School Estate,boutique resort,Coorg,https://schoolestate.in/,bookings@schoolestate.in,,35,0,1,Your reviews aren't set up to show as stars in Google results.,,,,email written (emails2.json) - not yet loaded to Gmail
WA,Invisible Braces Bangalore,cosmetic dental clinic,Bangalore,https://invisiblebracesbangalore.com/,(none - WhatsApp),,49,3,7,Your website never actually tells Google what kind of business you are,,,,
WA,Bangalore Photographers,wedding photography studio,JP Nagar,https://bangalorephotographers.in/,(none - WhatsApp),+918073739948,41,0,3,Your page has 5 competing main headlines.,,,,
WA,Dr Indira's Derma & Aesthetics,skin clinic,Jayanagar,https://drindiras.com/,(none - WhatsApp),+918733549311,38,2,6,Your website never actually tells Google what kind of business you are,,,,
WA,Pet Hospital Bangalore,pet hospital,Bangalore,https://pethospitalbangalore.com/,(none - WhatsApp),+919902356133,35,2,7,Google can see your pages but can't confirm you're a specific real bus,,,,
WA,Urbanize Group,property developer,Electronic City,https://www.urbanizegroup.com/,(none - WhatsApp),,28,1,6,Your website never actually tells Google what kind of business you are,,,,
WA,Dr Kamini Rao Hospitals,fertility clinic,Bangalore,https://drkaminiraohospitals.com/,(none - WhatsApp),+919035199244,23,1,4,Your website never actually tells Google what kind of business you are,,,,
OLD,Reginolds Dental,dental clinic,,https://www.reginoldsdental.com/,(none - WhatsApp only),+919886067262,0,,,,2026-07-30,,,"sent - too early to call, see note"
OLD,Chisel Dental,dental clinic,,https://www.chiseldental.co.in/,chiseldentalclinics@gmail.com,+919986560009,0,,,,2026-07-30,,,"sent - too early to call, see note"
OLD,Dental De Care,dental clinic,,https://www.dentaldecare.com/,dentaldecare4u@gmail.com,+917338389911,0,,,,2026-07-31 11:10,,,"sent - too early to call, see note"
OLD,Beyond Smiles Dental,dental clinic,,https://beyondsmiles.co.in/,drshobithshetty@gmail.com,+919886724383,0,,,,2026-07-31 11:14,,,"sent - too early to call, see note"
OLD,Dentis Zone,dental clinic,,https://www.dentiszone.com/,dentiszone@gmail.com,+919110442603,0,,,,2026-07-31 11:15,,,"sent - too early to call, see note"
OLD,The Dental Venue,dental clinic,,https://thedentalvenue.com/,thedentalvenue@gmail.com,+919108829069,0,,,,2026-07-31 11:15,,,"sent - too early to call, see note"
